"busco_id","pval"
"100088at32523",8.03456675144197e-139
"102110at32523",0
"104070at32523",0
"105916at32523",0
"106441at32523",8.99791159610168e-279
"106993at32523",4.46188025292418e-171
"107180at32523",5.21854483143396e-58
"108898at32523",1.20800351612833e-74
"109112at32523",0
"109366at32523",2.45901253949015e-103
"112465at32523",7.07344292979789e-92
"115499at32523",0
"116128at32523",1.42670653428586e-141
"117316at32523",7.47580603782974e-94
"118322at32523",4.9907137420186e-62
"118839at32523",8.82600673182826e-227
"121708at32523",9.40033621202445e-76
"12176at32523",3.14547261317643e-122
"122349at32523",2.4132994237041e-57
"123811at32523",8.88453928747185e-97
"124988at32523",0
"126505at32523",5.14870316969583e-135
"126689at32523",1.44261941392177e-77
"132408at32523",0
"133426at32523",0
"134798at32523",0
"135005at32523",2.64094964493629e-295
"13552at32523",3.29558834248118e-99
"136768at32523",2.86905142038225e-81
"137161at32523",4.01639070572749e-122
"137324at32523",4.68190795987224e-253
"13794at32523",3.32559631603792e-103
"13828at32523",3.36781297557326e-66
"138430at32523",2.05915151408987e-58
"140712at32523",1.53352265204009e-82
"140901at32523",2.2397667349575e-202
"141340at32523",2.65454391404743e-68
"14203at32523",9.73026987796785e-239
"143078at32523",0
"143557at32523",1.27964174900968e-67
"143634at32523",5.21497087554098e-76
"144001at32523",5.5763875836928e-68
"150210at32523",1.29322092554352e-70
"154328at32523",1.67191334734551e-131
"155190at32523",1.22102178314481e-174
"155262at32523",6.83857806052874e-134
"155765at32523",7.06942669436555e-156
"157717at32523",1.06196085989495e-60
"158268at32523",0
"158493at32523",4.07430620791694e-108
"159065at32523",4.85640783646079e-170
"159137at32523",3.7074043416454e-177
"159160at32523",1.88658277961315e-120
"159884at32523",0
"161090at32523",2.59194444380787e-95
"161967at32523",2.77821281792595e-68
"162030at32523",8.40775832648671e-119
"164484at32523",2.22819757661905e-151
"167540at32523",6.7371839044356e-124
"168156at32523",1.39025662045006e-83
"168477at32523",8.55449765364897e-111
"168608at32523",6.4686372185785e-82
"169719at32523",1.35357627231524e-217
"173099at32523",6.51710164101813e-214
"173598at32523",4.117750132361e-105
"173747at32523",3.38345421815595e-165
"174347at32523",1.05593514415631e-98
"174403at32523",1.06823128823743e-145
"174649at32523",3.20999244815551e-146
