"gene","pval"
"101303at32523",5.87137610100151e-137
"101542at32523",1.76127541660234e-180
"101949at32523",8.33616934281203e-86
"102110at32523",9.41448481127978e-127
"102529at32523",1.74491460680237e-76
"105916at32523",3.07820253613294e-171
"107213at32523",1.90142703022958e-152
"109646at32523",6.4750575315623e-133
"113062at32523",2.66503103948018e-182
"113607at32523",1.15902988129889e-128
"116132at32523",8.5262413404849e-284
"118839at32523",1.2968367671857e-62
"119144at32523",1.90012512107136e-275
"121184at32523",6.7464101229101e-232
"124683at32523",3.15515724525073e-137
"126395at32523",6.46758571985052e-101
"126597at32523",3.92574286185168e-63
"126992at32523",1.33988390114221e-104
"128422at32523",1.49074276131863e-304
"133426at32523",5.16838259255083e-228
"134798at32523",1.82063210650989e-115
"135131at32523",9.51773075939123e-218
"135243at32523",4.42673770533398e-69
"135387at32523",5.35809090960204e-142
"137324at32523",3.04864933235723e-123
"140221at32523",1.00665178133922e-97
"141057at32523",1.45443239747e-175
"142022at32523",2.27786982507104e-143
"142484at32523",0
"143078at32523",3.31171493364578e-104
"144146at32523",2.05755652483193e-61
"144781at32523",2.65201066881871e-130
"146603at32523",3.27628683279573e-81
"150509at32523",1.4631601929839e-105
"154801at32523",3.25358990235616e-97
"155190at32523",9.85533377987462e-111
"157171at32523",1.9203863366227e-118
"158268at32523",6.51666548415667e-205
"165745at32523",7.21040609346292e-120
"16602at32523",8.77709611137423e-188
"166537at32523",1.184291728095e-189
"169435at32523",9.86283537853294e-135
"172222at32523",1.21523058550329e-223
"172434at32523",3.38477447165483e-316
"173903at32523",9.58915299748739e-315
"174675at32523",6.06546329260701e-190
"174944at32523",9.31728435282815e-144
"177431at32523",3.23208005134325e-183
"178320at32523",9.6699626268372e-137
"178984at32523",1.4568332260347e-206
"179871at32523",5.69732247794294e-206
"180491at32523",1.09292561637748e-176
"18091at32523",6.42033964983567e-102
"181904at32523",3.30718564526013e-127
"182203at32523",2.40882023946937e-275
"182302at32523",6.31155833613707e-277
"182549at32523",1.39965886596862e-184
"184192at32523",8.60112554667478e-77
"185680at32523",1.56730758151687e-149
"188147at32523",3.64225322874812e-78
"188390at32523",9.91242472725365e-78
"189115at32523",2.20959769792316e-73
"189244at32523",8.22971231332473e-137
"191037at32523",0
"191457at32523",3.15914132855499e-66
"191792at32523",1.88777975268103e-141
"192580at32523",1.39403963340021e-75
"193873at32523",1.89675874601494e-204
"194637at32523",2.49229486053935e-74
"194996at32523",4.29123288583212e-130
"196611at32523",2.18026893203154e-179
"197589at32523",1.32182928867435e-64
"199537at32523",2.32336130796547e-80
"200165at32523",4.73172860831071e-140
"201210at32523",4.07214673892631e-66
"202849at32523",2.31889884819821e-66
"203233at32523",2.09640837327521e-66
"203753at32523",8.98172532407416e-104
"204259at32523",1.76809108546176e-79
"207984at32523",6.12743003867706e-73
"209160at32523",1.00354982696408e-98
"209752at32523",2.95740950682789e-184
"214194at32523",6.9967851667321e-71
"215463at32523",8.33113522970972e-75
"216370at32523",3.96435230729231e-314
"217270at32523",8.29342741400335e-224
"219434at32523",2.71771130604652e-88
"219664at32523",5.20311459244493e-189
"219728at32523",1.76812394669716e-205
"223827at32523",2.17914656988865e-62
"224102at32523",3.6989016478821e-112
"224157at32523",3.0783182004322e-91
"224356at32523",4.95618670813401e-143
"226027at32523",9.84629186139056e-278
"229324at32523",0
"230017at32523",2.66521615753636e-77
"230300at32523",2.76292963252387e-174
"230953at32523",3.3888302096823e-186
"232639at32523",1.00582987437645e-191
"233591at32523",4.70975735477437e-71
"235309at32523",2.69026997285207e-90
"235866at32523",3.14365832865273e-304
"23620at32523",1.07759957270375e-78
"237857at32523",2.15320091015863e-88
"237986at32523",2.58913465728446e-64
"238128at32523",2.40343247694886e-175
"239568at32523",2.79228641092285e-129
"239803at32523",1.39646680110254e-258
"240061at32523",1.37007998759633e-86
"240467at32523",1.32275862738473e-107
"242048at32523",3.61499200298942e-75
"242688at32523",6.7366502529708e-73
"243385at32523",1.90459700034957e-121
"24343at32523",2.18738155832181e-117
"244088at32523",5.55365031147687e-224
"244174at32523",2.29173718666919e-313
"244751at32523",6.46148622731376e-176
"246490at32523",2.68717937546597e-66
"247795at32523",1.2640023633345e-87
"249069at32523",1.79251563011397e-102
"249219at32523",2.86993308585323e-189
"249342at32523",2.8886278537998e-68
"249702at32523",1.09730601786411e-211
"250470at32523",7.80147851790359e-95
"250976at32523",3.44510501856383e-274
"251245at32523",2.15196070801671e-161
"251873at32523",5.93972862770807e-221
"251875at32523",1.12702185822296e-79
"251946at32523",1.15123558054033e-183
"252686at32523",2.19610312169699e-73
"253171at32523",9.06341537222335e-183
"253220at32523",7.12072283551572e-220
"255863at32523",5.51932583914367e-174
"257507at32523",9.63747290816703e-162
"257812at32523",3.52548540910571e-122
"258205at32523",2.6478168064875e-82
"25837at32523",2.14407255564722e-68
"259026at32523",8.23542128149408e-130
"259095at32523",3.38438232552577e-228
"259306at32523",1.67468230914132e-82
"260778at32523",3.47300715634172e-105
"260781at32523",5.79116128129289e-91
"261311at32523",2.65529010851432e-103
"263440at32523",5.09118706864e-224
"263835at32523",1.19486540658123e-106
"26466at32523",9.58674552811403e-85
"265077at32523",9.91208942335681e-84
"265834at32523",4.13755104322272e-169
"266685at32523",8.83450146940481e-138
"267061at32523",4.85453144480258e-143
"267170at32523",3.88630203641279e-270
"267472at32523",4.71956294739224e-82
"267603at32523",6.48916297274736e-194
"268208at32523",6.49618940938702e-158
"269039at32523",2.48116749222385e-156
"269391at32523",8.22011603698382e-114
