"gene","pval"
"101303at32523",4.45163961616804e-133
"101542at32523",1.02806970406049e-200
"101949at32523",6.56825939042868e-77
"102110at32523",8.25434018845505e-65
"104070at32523",9.10251684218601e-124
"105916at32523",1.32049793275309e-113
"106441at32523",9.27823978980693e-143
"107213at32523",1.69829953832855e-75
"109112at32523",1.15498165016734e-88
"109646at32523",9.00224115095237e-98
"113062at32523",7.18539230478635e-186
"113607at32523",1.38464714153531e-141
"115499at32523",1.41518580269845e-158
"116132at32523",1.60523229830725e-310
"119144at32523",2.81064543450174e-271
"121184at32523",4.08918090570807e-203
"124683at32523",3.30434408109908e-74
"124988at32523",5.04650501194811e-117
"126395at32523",2.3629227993098e-114
"126597at32523",7.87113212194431e-74
"128422at32523",4.77206155608921e-257
"132408at32523",9.64223786248563e-149
"133426at32523",0
"134798at32523",7.70805772459144e-201
"135005at32523",6.46380590073578e-108
"135131at32523",3.71853451025644e-229
"135387at32523",2.03672231993036e-188
"140221at32523",1.5283863359176e-126
"141057at32523",4.52012904073131e-189
"142022at32523",8.55700062764071e-147
"142484at32523",0
"143078at32523",3.05786437086072e-134
"144618at32523",3.59044898872792e-75
"144781at32523",1.76017637980908e-116
"150509at32523",7.13639600352273e-120
"154801at32523",3.78739795824968e-139
"157171at32523",2.0331732151367e-167
"158268at32523",2.16835659259118e-244
"165745at32523",5.20097145146177e-181
"16602at32523",4.9517687085782e-196
"166537at32523",1.71416500223969e-224
"169435at32523",1.8497853840723e-158
"171646at32523",1.9951382712537e-72
"172222at32523",5.51463746132207e-184
"172434at32523",3.68146222097803e-310
"173903at32523",3.19250549370701e-267
"174675at32523",4.64569938223046e-208
"174944at32523",2.27065224065357e-223
"177431at32523",2.75103014117181e-125
"177525at32523",7.2557870208191e-74
"178320at32523",5.76886529927315e-126
"178984at32523",4.29527617061862e-196
"179871at32523",2.54098690053155e-162
"180491at32523",3.154597935997e-114
"181904at32523",9.92948891645725e-88
"182203at32523",1.59265962762229e-232
"182302at32523",8.01346984494032e-248
"182549at32523",4.20984670701381e-167
"184192at32523",3.38895019721202e-111
"185680at32523",3.17786682508294e-283
"188147at32523",4.68235926029742e-83
"189115at32523",2.98403423867317e-88
"191037at32523",3.81590847463914e-307
"191792at32523",4.99665718624826e-147
"192580at32523",2.89057529047524e-119
"193873at32523",1.69134196015567e-178
"194637at32523",3.95750355850368e-90
"194996at32523",1.38527455704194e-209
"196611at32523",3.61277762582708e-220
"199537at32523",7.01304571173127e-82
"200165at32523",6.5785590997078e-147
"204259at32523",3.01259419637999e-83
"209160at32523",1.1660227422695e-100
"209752at32523",1.22512298278562e-147
"217270at32523",3.8216253005568e-262
"219664at32523",9.58296796706564e-222
"219728at32523",4.8674264502624e-203
"224102at32523",7.59538608122764e-150
"224157at32523",1.47097245226142e-114
"224356at32523",1.72681312089907e-158
"224357at32523",3.97789033802505e-89
"226027at32523",6.38731050254103e-231
"228524at32523",1.59254581720632e-66
"229324at32523",5.31288551598926e-319
"230300at32523",1.12442353342368e-185
"230581at32523",4.63051732589852e-94
"230953at32523",2.5578008150564e-205
"231432at32523",6.06168193100492e-76
"232639at32523",1.84155658565861e-176
"233591at32523",5.92200300161742e-109
"235866at32523",0
"23620at32523",4.17215801606074e-68
"237414at32523",1.54668681237566e-229
"237986at32523",3.74959047737057e-105
"238978at32523",0
"239568at32523",3.66665294854331e-66
"239803at32523",9.99465393738741e-262
"240467at32523",2.50264658640996e-108
"242587at32523",1.13617005958629e-89
"242688at32523",2.45448474082585e-81
"243139at32523",4.0379068451559e-92
"243385at32523",2.6427691148662e-126
"24340at32523",8.37776692983762e-202
"24343at32523",2.55913879898027e-128
"244088at32523",7.30343920461885e-238
"244174at32523",2.94218626166161e-263
"244751at32523",4.57111092965884e-188
"245334at32523",2.88689898843976e-137
"246490at32523",1.1501297599244e-88
"247336at32523",4.24600470793339e-76
"247795at32523",2.46920782478563e-81
"249069at32523",1.52078683957591e-117
"249219at32523",2.35767425068072e-135
"249342at32523",9.19424044512626e-83
"249397at32523",2.38787921834137e-81
"249702at32523",6.08608878873503e-199
"250210at32523",1.12278483087679e-145
"250470at32523",1.28900428687118e-93
"250976at32523",7.73820904411768e-239
"251245at32523",1.50920278295844e-121
"251873at32523",3.44787058338752e-232
"251875at32523",2.41195329273925e-96
"251946at32523",1.27656455950926e-203
