"gene","pval"
"100088at32523",1.58036324772659e-142
"102110at32523",0
"104070at32523",0
"105916at32523",0
"106441at32523",1.76984885839923e-282
"106993at32523",8.77631835744332e-175
"107180at32523",1.02646436495554e-61
"108898at32523",2.37608874140111e-78
"109112at32523",0
"109366at32523",4.8367673868807e-107
"112465at32523",1.39131450232059e-95
"115499at32523",0
"116128at32523",2.80626777003512e-145
"117316at32523",1.47045752120963e-97
"118322at32523",9.81651011411997e-66
"118839at32523",1.73603594253113e-230
"121708at32523",1.84900397561457e-79
"12176at32523",6.18700356643673e-126
"122349at32523",4.74685173820634e-61
"123811at32523",1.74754903372774e-100
"124988at32523",0
"126505at32523",1.0127268233076e-138
"126689at32523",2.83756769064077e-81
"132408at32523",0
"133426at32523",0
"134798at32523",0
"135005at32523",5.19462951403676e-299
"13552at32523",6.48227447380247e-103
"136768at32523",5.64329547675501e-85
"137161at32523",7.90006039678892e-126
"137324at32523",9.20910298952053e-257
"13794at32523",6.54129881203368e-107
"13828at32523",6.624337088067e-70
"138430at32523",4.05025868231681e-62
"140712at32523",3.01637028332041e-86
"140901at32523",4.40552072178895e-206
"141340at32523",5.22136883172194e-72
"14203at32523",1.91390044806606e-242
"143078at32523",0
"143557at32523",2.51699793274917e-71
"143634at32523",1.02576138385936e-79
"144001at32523",1.09685042952258e-71
"150210at32523",2.54370756401165e-74
"154328at32523",3.28857857463711e-135
"155190at32523",2.40169508879781e-178
"155262at32523",1.34511763582391e-137
"155765at32523",1.39052452682249e-159
"157717at32523",2.08882938610337e-64
"158268at32523",0
"158493at32523",8.01397759228351e-112
"159065at32523",9.55233642104798e-174
"159137at32523",7.29229807562038e-181
"159160at32523",3.71082372071824e-124
"159884at32523",0
"161090at32523",5.0982384811327e-99
"161967at32523",5.4646200195239e-72
"162030at32523",1.6537683569014e-122
"164484at32523",4.38276470617437e-155
"167540at32523",1.32517386003847e-127
"168156at32523",2.73457242417401e-87
"168477at32523",1.68263132447856e-114
"168608at32523",1.27235193127036e-85
"169719at32523",2.66242382438089e-221
"173099at32523",1.28188466581789e-217
"173598at32523",8.09942984335366e-109
"173747at32523",6.65510271077094e-169
"174347at32523",2.0769770734782e-102
"174403at32523",2.10116303744576e-149
"174649at32523",6.31391118834679e-150
"178523at32523",3.18740117819928e-75
"181827at32523",2.3132732381963e-124
"181908at32523",1.57081796566374e-219
"184953at32523",2.50878345493241e-135
"185471at32523",1.28921001424635e-85
"185680at32523",0
"185747at32523",4.11309448942325e-154
"189244at32523",4.14037855308326e-211
"190153at32523",1.59090399690101e-93
"191359at32523",1.57544169009464e-91
"19303at32523",1.43807174052261e-91
"193873at32523",1.07496663823999e-237
"194240at32523",6.41952626897634e-66
"194583at32523",4.41047351491259e-59
"198372at32523",1.95851883453891e-63
"199010at32523",5.26820922062997e-74
"200031at32523",2.7902156030757e-145
"200625at32523",1.51821076778432e-77
"20131at32523",3.4865237427364e-137
"203233at32523",0
"203712at32523",7.73124792056591e-318
"204379at32523",2.59192154552596e-74
"209160at32523",0
"212618at32523",3.84929532996861e-239
"213024at32523",2.89193687518747e-61
"213031at32523",9.29664348185945e-182
"216370at32523",0
"218681at32523",4.47102672260582e-97
"219563at32523",1.91601919889169e-62
"221129at32523",5.67041079711256e-82
"221733at32523",3.7814725176899e-128
"224357at32523",9.95084172130866e-200
"227540at32523",4.01380783597045e-103
"228553at32523",6.25506800405607e-63
"229340at32523",1.39518992977753e-285
"22945at32523",3.43882283856237e-162
"230581at32523",2.85931769914303e-185
"232356at32523",1.40143154408177e-60
"234435at32523",4.88033585801918e-69
"235309at32523",0
"237414at32523",0
"237758at32523",6.23910147032404e-139
"238128at32523",0
"238813at32523",2.38292683141165e-59
"238978at32523",0
"239395at32523",1.43522153801035e-62
"242028at32523",1.6628640974352e-66
"242587at32523",1.92934219687343e-273
"24340at32523",0
"244174at32523",7.44727098355821e-247
"245334at32523",0
"245369at32523",2.16181977599133e-188
"246490at32523",2.91053441752474e-91
"248117at32523",2.11724494347752e-83
