"gene","pval"
"100088at32523",1.71036124933879e-112
"10041at32523",2.1121996584203e-60
"100783at32523",2.10980035197285e-57
"101114at32523",5.2637252163987e-105
"101303at32523",9.44051567527837e-91
"102110at32523",5.38422348818115e-131
"102420at32523",1.25929982747075e-66
"102529at32523",2.02744381236078e-55
"104339at32523",9.73120991544019e-55
"105916at32523",8.87607211744704e-210
"105917at32523",9.12908972843185e-63
"106993at32523",1.20339239298236e-94
"107213at32523",4.09271094932805e-132
"109112at32523",9.80163217962747e-109
"109366at32523",7.95386527439291e-67
"109646at32523",9.44348569413885e-62
"115499at32523",2.14125162906194e-72
"116132at32523",1.27032457613312e-51
"118839at32523",3.09797966635005e-184
"119144at32523",8.13593412047394e-59
"119909at32523",1.8184225272689e-135
"121184at32523",2.28109043569808e-145
"12176at32523",6.22379586646026e-53
"123751at32523",3.54835882632281e-78
"124683at32523",1.21414410985535e-83
"124988at32523",3.03053209764949e-80
"125701at32523",6.2590669731728e-56
"126992at32523",3.98713247948951e-134
"129874at32523",2.5732916465103e-82
"130393at32523",1.88078130666667e-89
"132310at32523",1.05230491394124e-52
"132719at32523",1.11075222164829e-52
"133426at32523",0
"134798at32523",8.01742809068042e-110
"135243at32523",1.57637943853942e-71
"135990at32523",6.21244910034988e-117
"136768at32523",2.8636778675476e-107
"137324at32523",5.8863946085751e-256
"13828at32523",1.93617231901568e-65
"139005at32523",2.41554317485072e-93
"140901at32523",7.77017548017384e-63
"142022at32523",2.62727837854294e-79
"14203at32523",4.6771685339672e-95
"142484at32523",6.56129980491866e-62
"143078at32523",4.88202508116667e-146
"143557at32523",1.01824329990513e-56
"144781at32523",4.41966064275223e-56
"149605at32523",5.63308105044913e-77
"150577at32523",4.84448997170653e-103
"1528at32523",2.38531334682857e-61
"155190at32523",1.11746520328977e-203
"157045at32523",2.6286445146534e-79
"158268at32523",4.65748777386697e-299
"158493at32523",1.66790792779289e-69
"15909at32523",4.12912912173177e-58
"159160at32523",4.23792128170248e-68
"164469at32523",1.17604313632414e-72
"165047at32523",1.61829651105378e-85
"168146at32523",2.15151761707944e-60
"168840at32523",3.79922842904086e-72
"169719at32523",1.33332999938575e-102
"172222at32523",1.03803592765297e-93
"172434at32523",2.63213931493139e-69
"178320at32523",1.57991174829124e-85
"179871at32523",4.32679582822478e-137
"180491at32523",5.2063142079161e-163
"180794at32523",3.39226469303569e-69
"18091at32523",1.84947633376592e-151
"181904at32523",8.11645887803464e-136
"182302at32523",3.57222112206882e-95
"182549at32523",4.69132070957134e-99
"184879at32523",3.59333920575088e-79
"185160at32523",6.58297787608466e-73
"185680at32523",4.48683060681606e-290
"185973at32523",1.29893416779986e-53
"186718at32523",5.49775907797492e-91
"189244at32523",9.58405314485638e-299
"191359at32523",4.00688138815872e-61
"19303at32523",6.47609524227485e-90
"193572at32523",6.18366861716215e-117
"193873at32523",6.83812389317938e-134
"194006at32523",1.99767330348485e-64
"194583at32523",5.85370316291407e-108
"196833at32523",3.08749040827546e-66
"198830at32523",5.96546849582007e-66
"200031at32523",1.79627731263419e-80
"202849at32523",3.49286050023659e-166
"203233at32523",1.44739523515529e-131
"203712at32523",8.6471980298087e-76
"203753at32523",4.26593659596315e-157
"207331at32523",7.29738028407311e-73
"209160at32523",9.02016102093156e-195
