"gene","pval"
"100088at32523",1.61351927167729e-112
"10041at32523",2.01477216759903e-60
"100783at32523",2.02716204436781e-57
"101114at32523",4.91321964146722e-105
"101303at32523",8.84626348819572e-91
"102110at32523",4.93879979931712e-131
"102420at32523",1.21872749461249e-66
"102529at32523",1.94039735387359e-55
"104339at32523",9.3235273472684e-55
"105916at32523",7.8532415338855e-210
"105917at32523",8.71087797142483e-63
"106993at32523",1.12998564940475e-94
"107213at32523",3.74951563997606e-132
"109112at32523",9.12662479150448e-109
"109366at32523",7.5992686618161e-67
"109646at32523",9.03051293608046e-62
"115499at32523",2.02901793406062e-72
"116132at32523",1.21762131670649e-51
"118839at32523",2.78441128376831e-184
"119144at32523",7.770406468636e-59
"119909at32523",1.68416030642197e-135
"121184at32523",2.0807931937183e-145
"12176at32523",5.95862889694366e-53
"123751at32523",3.37257397987587e-78
"124683at32523",1.14679109005935e-83
"124988at32523",2.86810648850387e-80
"125701at32523",6.05294565861905e-56
"126992at32523",3.65882005580125e-134
"129874at32523",2.43043446397035e-82
"130393at32523",1.77344153772352e-89
"132310at32523",1.00822154377616e-52
"132719at32523",1.06490695327948e-52
"133426at32523",0
"134798at32523",7.4952889403562e-110
"135243at32523",1.49726793442309e-71
"135990at32523",5.77425037255845e-117
"136768at32523",2.68125976228242e-107
"137324at32523",5.06293148810446e-256
"13828at32523",1.84825731039637e-65
"139005at32523",2.26352177334507e-93
"140901at32523",7.46817846913402e-63
"142022at32523",2.47722612816922e-79
"14203at32523",4.39516847608286e-95
"142484at32523",6.24879636563508e-62
"143078at32523",4.4829422709011e-146
"143557at32523",9.80683157845125e-57
"144781at32523",4.23384409717216e-56
"149605at32523",5.32359220362668e-77
"150577at32523",4.55885743684618e-103
"1528at32523",2.27336763205015e-61
"155190at32523",9.8902664746314e-204
"157045at32523",2.49105940424309e-79
"158268at32523",3.97901741087699e-299
"158493at32523",1.58592027089134e-69
"15909at32523",3.96221668693033e-58
"159160at32523",4.06462151982809e-68
"164469at32523",1.11826129385256e-72
"165047at32523",1.52490913282132e-85
"168146at32523",2.05620844968142e-60
"168840at32523",3.60935662412829e-72
"169719at32523",1.25731255207227e-102
"172222at32523",9.72027777528854e-94
"172434at32523",2.49570744421065e-69
"178320at32523",1.4874624624034e-85
"179871at32523",3.96725921975143e-137
"180491at32523",4.6944695200897e-163
"180794at32523",3.25394341477703e-69
"18091at32523",1.68776271459216e-151
"181904at32523",7.43360703953773e-136
"182302at32523",3.3733447133974e-95
"182549at32523",4.42820072056824e-99
"184879at32523",3.41673861685624e-79
"185160at32523",6.23263495207048e-73
"185680at32523",3.8630255816128e-290
"185973at32523",1.25197727357845e-53
"186718at32523",5.18071326603952e-91
"189244at32523",8.13562350815194e-299
"191359at32523",3.84629535255844e-61
"19303at32523",6.13592334475288e-90
"193572at32523",5.72749989604146e-117
"193873at32523",6.25807406010454e-134
"194006at32523",1.91274793669375e-64
"194583at32523",5.46933130102793e-108
"196833at32523",2.93842489091499e-66
"198830at32523",5.75553343457927e-66
"200031at32523",1.69419053523298e-80
"202849at32523",3.18529398662022e-166
"203233at32523",1.34880342110403e-131
"203712at32523",8.3022083382377e-76
"203753at32523",3.85892738122211e-157
"207331at32523",6.90518723147395e-73
"209160at32523",8.02960152434505e-195
"20946at32523",4.69328370722279e-82
"212732at32523",4.38181057484013e-67
"215018at32523",1.23677299227452e-75
"215463at32523",5.28853080632843e-68
"216370at32523",0
"216435at32523",4.04057001221705e-68
"217219at32523",9.88887534282343e-56
"219434at32523",7.07242117926503e-113
"219664at32523",4.06668453784056e-61
"220690at32523",3.40627244836464e-100
"223827at32523",9.93427662148847e-91
"224094at32523",1.82463705684178e-74
"224759at32523",2.70270049355938e-51
"225441at32523",6.73608897609301e-86
"227540at32523",3.06626030320767e-67
"229324at32523",3.21443178292581e-137
"229340at32523",1.17310027363451e-95
"22945at32523",2.5510293901016e-60
"230017at32523",7.0193565325854e-62
"230300at32523",2.97419607063219e-97
"232531at32523",4.85209375224448e-57
"232639at32523",2.43192839591772e-57
"235011at32523",2.31246699560144e-51
"235309at32523",1.80259859405905e-122
"235866at32523",2.76338101785155e-95
"236911at32523",8.67507527808175e-96
"237414at32523",2.47013862442206e-76
"237758at32523",8.55705899019188e-122
"237857at32523",6.58404150809314e-103
"238128at32523",2.60883221818137e-273
"238690at32523",1.33204119671489e-87
"238813at32523",1.13737224171025e-83
"238978at32523",5.08953382283331e-69
"239568at32523",6.70399035645702e-145
"239803at32523",1.16208268078727e-80
"240061at32523",6.89275821357634e-102
"242048at32523",5.17647746173601e-59
"243385at32523",2.6536240422424e-61
"24340at32523",3.75214566707957e-115
"244174at32523",5.7293034981049e-211
"244942at32523",8.84702483126132e-59
"249219at32523",3.13487737639445e-169
"249397at32523",1.09359693532643e-65
"249574at32523",3.03214698262016e-65
"25058at32523",1.89664126590134e-135
"250844at32523",9.40984547760947e-95
"250976at32523",2.19827075742162e-137
"252686at32523",3.97875714251184e-113
"254286at32523",2.54976267645305e-80
"254458at32523",2.682667831044e-61
"254681at32523",1.41226804823682e-64
"255377at32523",3.32223405864788e-82
"258591at32523",4.27416041297098e-101
"259445at32523",2.41035108699031e-54
"259972at32523",3.01813752744211e-125
"261311at32523",3.86860365382191e-59
"262189at32523",3.51064112962043e-52
