"gene","pval"
"100088at32523",8.20474549647902e-109
"10041at32523",1.02451164722411e-56
"100783at32523",1.03081189956103e-53
"101114at32523",2.49837218768608e-101
"101303at32523",4.49832498374752e-87
"102110at32523",2.51137969795276e-127
"102420at32523",6.1972293101045e-63
"102529at32523",9.86692054444718e-52
"104339at32523",4.74101365608598e-51
"105916at32523",3.99337331998078e-206
"105917at32523",4.42948144846952e-59
"106993at32523",5.74597702722316e-91
"107213at32523",1.90662870292783e-128
"109112at32523",4.64088870648003e-105
"109366at32523",3.86422811453349e-63
"109646at32523",4.59201582799691e-58
"115499at32523",1.03175561946982e-68
"116132at32523",6.19160439545251e-48
"118839at32523",1.41587313779619e-180
"119144at32523",3.95125168930141e-55
"119909at32523",8.56395515815572e-132
"121184at32523",1.05808333900576e-141
"12176at32523",3.02996279409585e-49
"123751at32523",1.71495386876688e-74
"124683at32523",5.8314326929518e-80
"124988at32523",1.45843214940422e-76
"125701at32523",3.07792286740779e-52
"126992at32523",1.86050999837494e-130
"129874at32523",1.23587592492892e-78
"130393at32523",9.0179502193241e-86
"132310at32523",5.12680655010179e-49
"132719at32523",5.41505185742614e-49
"133426at32523",0
"134798at32523",3.81135442617113e-106
"135243at32523",7.61360744654143e-68
"135990at32523",2.93620631444597e-113
"136768at32523",1.36342058912061e-103
"137324at32523",2.57450066170112e-252
"13828at32523",9.39838842336552e-62
"139005at32523",1.15100082174597e-89
"140901at32523",3.79756875155465e-59
"142022at32523",1.25966948617405e-75
"14203at32523",2.23494317008813e-91
"142484at32523",3.17751295192544e-58
"143078at32523",2.27957614475321e-142
"143557at32523",4.98677385764246e-53
"144781at32523",2.15290972341204e-52
"149605at32523",2.70704663554417e-73
"150577at32523",2.31817900663628e-99
"1528at32523",1.1560074408975e-57
"155190at32523",5.02920050235007e-200
"157045at32523",1.26670370705761e-75
"158268at32523",2.02333035343095e-295
"158493at32523",8.06440457748246e-66
"15909at32523",2.01478718530407e-54
"159160at32523",2.06686004283259e-64
"164469at32523",5.68635867924024e-69
"165047at32523",7.7541629403964e-82
"168146at32523",1.045581996663e-56
"168840at32523",1.83535784336923e-68
"169719at32523",6.39343432728751e-99
"172222at32523",4.94276124873422e-90
"172434at32523",1.26906723538112e-65
"178320at32523",7.56374662132127e-82
"179871at32523",2.0173513132436e-133
"180491at32523",2.38713775096561e-159
"180794at32523",1.65463022641412e-65
"18091at32523",8.58227340370115e-148
"181904at32523",3.77998917960494e-132
"182302at32523",1.71534578676258e-91
"182549at32523",2.25174006640895e-95
"184879at32523",1.7374115866714e-75
"185160at32523",3.16929487312784e-69
"185680at32523",1.96434850825011e-286
"185973at32523",6.36630443614641e-50
"186718at32523",2.6343926957811e-87
"189244at32523",4.13696455389526e-295
"191359at32523",1.95584118677597e-57
"19303at32523",3.12011702080684e-86
"193572at32523",2.91243369713708e-113
"193873at32523",3.18223065956316e-130
"194006at32523",9.7263232580877e-61
"194583at32523",2.7811549665727e-104
"196833at32523",1.49418905703027e-62
"198830at32523",2.92668875148356e-62
"200031at32523",8.61495887165972e-77
"202849at32523",1.61972199219638e-162
"203233at32523",6.85866539631402e-128
"203712at32523",4.22167293999387e-72
"203753at32523",1.96226457335144e-153
"207331at32523",3.5112877072045e-69
"209160at32523",4.08305237512946e-191
"20946at32523",2.38653476512279e-78
"212732at32523",2.22815067730621e-63
"215018at32523",6.28899066571594e-72
"215463at32523",2.68921791501801e-64
"216370at32523",0
"216435at32523",2.05462985121237e-64
"217219at32523",5.02849311182572e-52
"219434at32523",3.59632616965627e-109
"219664at32523",2.06790908749192e-57
"220690at32523",1.73208953999342e-96
"223827at32523",5.05157966202689e-87
"224094at32523",9.27827943404047e-71
"224759at32523",1.37432320097495e-47
"225441at32523",3.4253012443433e-82
"227540at32523",1.5591933641811e-63
"229324at32523",1.63453856161777e-133
"229340at32523",5.96521489143148e-92
"22945at32523",1.29719844486666e-56
"230017at32523",3.56934279681968e-58
"230300at32523",1.51237870191647e-93
"232531at32523",2.46728967301632e-53
"232639at32523",1.23663558932416e-53
"235011at32523",1.17588946726333e-47
"235309at32523",9.16621385079029e-119
"235866at32523",1.40517924757751e-91
"236911at32523",4.41127577890457e-92
"237414at32523",1.25606549051862e-72
"237758at32523",4.35126449651257e-118
"237857at32523",3.34798510686536e-99
"238128at32523",1.32659118294523e-269
"238690at32523",6.77342948529522e-84
"238813at32523",5.7835378490966e-80
"238978at32523",2.58802794891074e-65
