"n","species","busco_id"
"1","cheAbi","100088at32523"
"2","cheMyd","100088at32523"
"3","chrPic","100088at32523"
"4","cuoMcc","100088at32523"
"5","derCor","100088at32523"
"6","derMaw","100088at32523"
"7","gopAga","100088at32523"
"8","plaMeg","100088at32523"
"9","carIns","102110at32523"
"10","cheAbi","102110at32523"
"11","cheMyd","102110at32523"
"12","chrPic","102110at32523"
"13","derMaw","102110at32523"
"14","emySub","102110at32523"
"15","gopAga","102110at32523"
"16","malTer","102110at32523"
"17","pelCas","102110at32523"
"18","pelSin","102110at32523"
"19","plaMeg","102110at32523"
"20","terMex","102110at32523"
"21","carIns","105916at32523"
"22","cheAbi","105916at32523"
"23","cheMyd","105916at32523"
"24","cheSer","105916at32523"
"25","chrPic","105916at32523"
"26","derCor","105916at32523"
"27","gopAga","105916at32523"
"28","malTer","105916at32523"
"29","mesTub","105916at32523"
"30","pelCas","105916at32523"
"31","pelSin","105916at32523"
"32","podExp","105916at32523"
"33","cuoAmb","105917at32523"
"34","cheMyd","106993at32523"
"35","chrPic","106993at32523"
"36","cuoMcc","106993at32523"
"37","derCor","106993at32523"
"38","derMaw","106993at32523"
"39","emySub","106993at32523"
"40","gopAga","106993at32523"
"41","malTer","106993at32523"
"42","pelCas","106993at32523"
"43","pelSin","106993at32523"
"44","plaMeg","106993at32523"
"45","podExp","106993at32523"
"46","terMex","106993at32523"
"47","cheAbi","107213at32523"
"48","chrPic","107213at32523"
"49","cuoAmb","107213at32523"
"50","cuoMcc","107213at32523"
"51","derMaw","107213at32523"
"52","emySub","107213at32523"
"53","gopAga","107213at32523"
"54","mesTub","107213at32523"
"55","plaMeg","107213at32523"
"56","terMex","107213at32523"
"57","carIns","115499at32523"
"58","cheAbi","115499at32523"
"59","cheMyd","115499at32523"
"60","chrPic","115499at32523"
"61","cuoMcc","115499at32523"
"62","derCor","115499at32523"
"63","derMaw","115499at32523"
"64","emySub","115499at32523"
"65","gopAga","115499at32523"
"66","malTer","115499at32523"
"67","mesTub","115499at32523"
"68","pelCas","115499at32523"
"69","pelSin","115499at32523"
"70","plaMeg","115499at32523"
"71","podExp","115499at32523"
"72","cuoMcc","118839at32523"
"73","derCor","118839at32523"
"74","gopAga","118839at32523"
"75","mesTub","118839at32523"
"76","pelCas","118839at32523"
"77","podExp","118839at32523"
"78","terMex","118839at32523"
"79","cuoMcc","119909at32523"
"80","derMaw","119909at32523"
"81","cheMyd","121184at32523"
"82","pelSin","121184at32523"
"83","cheAbi","124988at32523"
"84","cheSer","124988at32523"
"85","chrPic","124988at32523"
"86","cuoAmb","124988at32523"
"87","cuoMcc","124988at32523"
"88","gopAga","124988at32523"
"89","plaMeg","124988at32523"
"90","terMex","124988at32523"
"91","malTer","130393at32523"
"92","plaMeg","130393at32523"
"93","terMex","130393at32523"
"94","terMex","133426at32523"
"95","cheAbi","134798at32523"
"96","cheAbi","135990at32523"
"97","chrPic","135990at32523"
"98","gopAga","135990at32523"
"99","malTer","135990at32523"
"100","carIns","137324at32523"
"101","cheAbi","137324at32523"
"102","cheSer","137324at32523"
"103","chrPic","137324at32523"
"104","cuoAmb","137324at32523"
"105","cuoMcc","137324at32523"
"106","derCor","137324at32523"
"107","derMaw","137324at32523"
"108","emySub","137324at32523"
"109","gopAga","137324at32523"
"110","malTer","137324at32523"
"111","mesTub","137324at32523"
"112","pelCas","137324at32523"
"113","pelSin","137324at32523"
"114","plaMeg","137324at32523"
"115","podExp","137324at32523"
"116","terMex","137324at32523"
"117","carIns","143078at32523"
"118","cheMyd","143078at32523"
"119","chrPic","143078at32523"
"120","cuoMcc","143078at32523"
"121","derCor","143078at32523"
"122","gopAga","143078at32523"
"123","mesTub","143078at32523"
"124","pelSin","143078at32523"
"125","plaMeg","143078at32523"
"126","podExp","143078at32523"
"127","terMex","143078at32523"
"128","carIns","155190at32523"
"129","cheAbi","155190at32523"
"130","cheMyd","155190at32523"
"131","cheSer","155190at32523"
"132","chrPic","155190at32523"
"133","cuoAmb","155190at32523"
"134","cuoMcc","155190at32523"
"135","derMaw","155190at32523"
"136","emySub","155190at32523"
"137","gopAga","155190at32523"
"138","mesTub","155190at32523"
"139","pelCas","155190at32523"
"140","plaMeg","155190at32523"
"141","podExp","155190at32523"
"142","terMex","155190at32523"
"143","carIns","158268at32523"
"144","cheAbi","158268at32523"
"145","cheMyd","158268at32523"
"146","cheSer","158268at32523"
"147","chrPic","158268at32523"
"148","cuoAmb","158268at32523"
"149","cuoMcc","158268at32523"
"150","derCor","158268at32523"
"151","derMaw","158268at32523"
"152","emySub","158268at32523"
"153","gopAga","158268at32523"
"154","malTer","158268at32523"
"155","mesTub","158268at32523"
"156","pelSin","158268at32523"
"157","plaMeg","158268at32523"
"158","podExp","158268at32523"
"159","terMex","158268at32523"
"160","cheAbi","158493at32523"
"161","cheMyd","158493at32523"
"162","cheSer","158493at32523"
"163","chrPic","158493at32523"
"164","derCor","158493at32523"
"165","gopAga","158493at32523"
"166","malTer","158493at32523"
"167","terMex","158493at32523"
"168","cuoAmb","168146at32523"
"169","chrPic","168840at32523"
"170","cheAbi","169719at32523"
"171","cheMyd","169719at32523"
"172","cheSer","169719at32523"
"173","chrPic","169719at32523"
"174","derCor","169719at32523"
"175","emySub","169719at32523"
"176","gopAga","169719at32523"
"177","mesTub","169719at32523"
"178","pelSin","169719at32523"
"179","plaMeg","169719at32523"
"180","podExp","169719at32523"
"181","cuoAmb","179871at32523"
"182","pelSin","180491at32523"
"183","cheMyd","18091at32523"
"184","cheSer","18091at32523"
"185","gopAga","18091at32523"
"186","terMex","18091at32523"
"187","carIns","185680at32523"
"188","cheAbi","185680at32523"
"189","cheMyd","185680at32523"
"190","cheSer","185680at32523"
"191","chrPic","185680at32523"
"192","cuoAmb","185680at32523"
"193","cuoMcc","185680at32523"
"194","derMaw","185680at32523"
"195","emySub","185680at32523"
"196","gopAga","185680at32523"
"197","malTer","185680at32523"
"198","mesTub","185680at32523"
"199","pelCas","185680at32523"
"200","pelSin","185680at32523"
"201","plaMeg","185680at32523"
"202","podExp","185680at32523"
"203","terMex","185680at32523"
"204","cheAbi","189244at32523"
"205","cheSer","189244at32523"
"206","derCor","189244at32523"
"207","emySub","189244at32523"
"208","gopAga","189244at32523"
"209","mesTub","189244at32523"
"210","pelCas","189244at32523"
"211","pelSin","189244at32523"
"212","plaMeg","189244at32523"
"213","terMex","189244at32523"
"214","derCor","19303at32523"
"215","gopAga","19303at32523"
"216","plaMeg","19303at32523"
"217","terMex","19303at32523"
"218","chrPic","193873at32523"
"219","emySub","193873at32523"
"220","mesTub","193873at32523"
"221","pelSin","193873at32523"
"222","plaMeg","193873at32523"
"223","podExp","193873at32523"
"224","terMex","193873at32523"
"225","cheSer","194583at32523"
"226","cuoAmb","194583at32523"
"227","cuoMcc","194583at32523"
"228","gopAga","194583at32523"
"229","malTer","200031at32523"
"230","cheMyd","202849at32523"
"231","cuoAmb","202849at32523"
"232","cuoMcc","202849at32523"
"233","cheAbi","203233at32523"
"234","cheMyd","203233at32523"
"235","cheSer","203233at32523"
"236","chrPic","203233at32523"
"237","cuoMcc","203233at32523"
"238","derCor","203233at32523"
"239","derMaw","203233at32523"
"240","emySub","203233at32523"
"241","pelCas","203233at32523"
"242","pelSin","203233at32523"
"243","plaMeg","203233at32523"
"244","podExp","203233at32523"
"245","carIns","203712at32523"
"246","cheMyd","203712at32523"
"247","cheSer","203712at32523"
"248","cuoMcc","203712at32523"
"249","derCor","203712at32523"
"250","derMaw","203712at32523"
"251","malTer","203712at32523"
"252","mesTub","203712at32523"
"253","pelSin","203712at32523"
"254","podExp","203712at32523"
"255","terMex","203712at32523"
"256","cheSer","209160at32523"
"257","chrPic","209160at32523"
"258","derCor","209160at32523"
"259","emySub","209160at32523"
"260","malTer","209160at32523"
"261","pelSin","209160at32523"
"262","plaMeg","209160at32523"
"263","terMex","209160at32523"
"264","carIns","216370at32523"
"265","cheAbi","216370at32523"
"266","cheMyd","216370at32523"
"267","cheSer","216370at32523"
"268","chrPic","216370at32523"
"269","cuoAmb","216370at32523"
"270","cuoMcc","216370at32523"
"271","derCor","216370at32523"
"272","derMaw","216370at32523"
"273","emySub","216370at32523"
"274","gopAga","216370at32523"
"275","malTer","216370at32523"
"276","mesTub","216370at32523"
"277","pelCas","216370at32523"
"278","pelSin","216370at32523"
"279","plaMeg","216370at32523"
"280","podExp","216370at32523"
"281","terMex","216370at32523"
"282","cuoMcc","223827at32523"
"283","cheMyd","229324at32523"
"284","chrPic","229324at32523"
"285","cuoAmb","229324at32523"
"286","cuoMcc","229324at32523"
"287","derCor","229324at32523"
"288","cheAbi","229340at32523"
"289","cheMyd","229340at32523"
"290","cheSer","229340at32523"
"291","chrPic","229340at32523"
"292","cuoAmb","229340at32523"
"293","cuoMcc","229340at32523"
"294","derCor","229340at32523"
"295","derMaw","229340at32523"
"296","emySub","229340at32523"
"297","gopAga","229340at32523"
"298","malTer","229340at32523"
"299","mesTub","229340at32523"
"300","pelCas","229340at32523"
"301","pelSin","229340at32523"
"302","plaMeg","229340at32523"
"303","podExp","229340at32523"
"304","terMex","229340at32523"
"305","cheAbi","235309at32523"
"306","cheSer","235309at32523"
"307","derMaw","235309at32523"
"308","emySub","235309at32523"
"309","mesTub","235309at32523"
"310","pelCas","235309at32523"
"311","plaMeg","235309at32523"
"312","cheAbi","237758at32523"
"313","cheMyd","237758at32523"
"314","cheSer","237758at32523"
"315","chrPic","237758at32523"
"316","cuoMcc","237758at32523"
"317","derCor","237758at32523"
"318","derMaw","237758at32523"
"319","gopAga","237758at32523"
"320","malTer","237758at32523"
"321","plaMeg","237758at32523"
"322","terMex","237758at32523"
"323","carIns","238128at32523"
"324","cheAbi","238128at32523"
"325","cheMyd","238128at32523"
"326","cheSer","238128at32523"
"327","chrPic","238128at32523"
"328","cuoAmb","238128at32523"
"329","cuoMcc","238128at32523"
"330","derCor","238128at32523"
"331","derMaw","238128at32523"
"332","emySub","238128at32523"
"333","gopAga","238128at32523"
"334","malTer","238128at32523"
"335","mesTub","238128at32523"
"336","pelCas","238128at32523"
"337","pelSin","238128at32523"
"338","plaMeg","238128at32523"
"339","podExp","238128at32523"
"340","terMex","238128at32523"
"341","cheSer","239568at32523"
"342","cuoAmb","239568at32523"
"343","cuoMcc","239568at32523"
"344","pelSin","239568at32523"
"345","plaMeg","239568at32523"
"346","cheAbi","24340at32523"
"347","cheMyd","24340at32523"
"348","chrPic","24340at32523"
"349","cuoAmb","24340at32523"
"350","cuoMcc","24340at32523"
"351","derCor","24340at32523"
"352","derMaw","24340at32523"
"353","emySub","24340at32523"
"354","gopAga","24340at32523"
"355","malTer","24340at32523"
"356","mesTub","24340at32523"
"357","pelCas","24340at32523"
"358","pelSin","24340at32523"
"359","plaMeg","24340at32523"
"360","podExp","24340at32523"
"361","terMex","24340at32523"
"362","cheSer","244174at32523"
"363","chrPic","244174at32523"
"364","cuoMcc","244174at32523"
"365","emySub","244174at32523"
"366","gopAga","244174at32523"
"367","mesTub","244174at32523"
"368","pelCas","244174at32523"
"369","podExp","244174at32523"
"370","carIns","249219at32523"
"371","cheAbi","249219at32523"
"372","cheMyd","249219at32523"
"373","cheSer","249219at32523"
"374","cuoAmb","249219at32523"
"375","cuoMcc","249219at32523"
"376","derMaw","249219at32523"
"377","gopAga","249219at32523"
"378","cheMyd","249397at32523"
"379","chrPic","249397at32523"
"380","cuoAmb","249397at32523"
"381","derCor","249397at32523"
"382","derMaw","249397at32523"
"383","emySub","249397at32523"
"384","gopAga","249397at32523"
"385","malTer","249397at32523"
"386","pelSin","249397at32523"
"387","plaMeg","249397at32523"
"388","cheAbi","249574at32523"
"389","cheSer","249574at32523"
"390","chrPic","249574at32523"
"391","cuoMcc","249574at32523"
"392","derCor","249574at32523"
"393","malTer","249574at32523"
"394","plaMeg","249574at32523"
"395","terMex","249574at32523"
"396","cheSer","25058at32523"
"397","cuoMcc","25058at32523"
"398","derCor","25058at32523"
"399","derMaw","25058at32523"
"400","emySub","25058at32523"
"401","gopAga","25058at32523"
"402","terMex","25058at32523"
"403","cheMyd","250844at32523"
"404","derCor","250844at32523"
"405","derMaw","250844at32523"
"406","emySub","250844at32523"
"407","gopAga","250844at32523"
"408","malTer","250844at32523"
"409","mesTub","250844at32523"
"410","pelCas","250844at32523"
"411","pelSin","250844at32523"
"412","podExp","250844at32523"
"413","cuoAmb","259972at32523"
"414","cheMyd","26466at32523"
"415","emySub","26466at32523"
"416","cheMyd","265834at32523"
"417","cheSer","265834at32523"
"418","cuoAmb","265834at32523"
"419","emySub","265834at32523"
"420","gopAga","265834at32523"
"421","malTer","265834at32523"
"422","mesTub","265834at32523"
"423","pelCas","265834at32523"
"424","pelSin","265834at32523"
"425","podExp","265834at32523"
"426","terMex","265834at32523"
"427","cheAbi","267472at32523"
"428","cheMyd","267472at32523"
"429","cheSer","267472at32523"
"430","gopAga","267472at32523"
"431","malTer","267472at32523"
"432","cheAbi","279702at32523"
"433","cheSer","279702at32523"
"434","chrPic","279702at32523"
"435","cuoAmb","279702at32523"
"436","derMaw","279702at32523"
"437","emySub","279702at32523"
"438","gopAga","279702at32523"
"439","malTer","279702at32523"
"440","mesTub","279702at32523"
"441","pelSin","279702at32523"
"442","plaMeg","279702at32523"
"443","terMex","279702at32523"
"444","cheAbi","282898at32523"
"445","cheMyd","282898at32523"
"446","cheSer","282898at32523"
"447","chrPic","282898at32523"
"448","cuoAmb","282898at32523"
"449","cuoMcc","282898at32523"
"450","derCor","282898at32523"
"451","derMaw","282898at32523"
"452","emySub","282898at32523"
"453","gopAga","282898at32523"
"454","malTer","282898at32523"
"455","mesTub","282898at32523"
"456","pelCas","282898at32523"
"457","pelSin","282898at32523"
"458","plaMeg","282898at32523"
"459","podExp","282898at32523"
"460","malTer","283521at32523"
"461","carIns","284008at32523"
"462","cheMyd","284008at32523"
"463","cheSer","284008at32523"
"464","chrPic","284008at32523"
"465","cuoAmb","284008at32523"
