"","Species","Genus","Family","Order","Mass","Clutchsize","Clutch_frequency","Microhabitat","Lifespan","Neck_Retraction","unique_outliers","MicrohabitatAquatic","MicrohabitatAquatic_Marine","MicrohabitatMarine","MicrohabitatTerrestrial","Neck_RetractionHidden_necked","Neck_RetractionSide_necked","obs"
"1","Carettochelys insculpta","Carettochelys","Carettochelyidae","Testudines",-0.3433501017245,-0.0332943404882827,-1.07627152733504,"Aquatic_Marine",-0.251329112886136,"Hidden_necked",3,0,1,0,0,1,0,1
"2","Chelonia mydas","Chelonia","Cheloniidae","Testudines",1.22987138942113,2.60522317030383,-0.876784995583054,"Marine",0.916340982807704,"Hidden_necked",16,0,0,1,0,1,0,2
"3","Chelonoidis abingdonii","Chelonoidis","Testudinidae","Testudines",0.860057828371017,-0.399755105876075,0.764263990145348,"Terrestrial",-0.000354483939190657,"Hidden_necked",13,0,0,0,1,1,0,3
"4","Chelydra serpentina","Chelydra","Chelydridae","Testudines",-0.285877614093467,0.0825072613742598,-0.898158552556481,"Aquatic",0.118752119628851,"Hidden_necked",12,1,0,0,0,1,0,4
"5","Chrysemys picta","Chrysemys","Emydidae","Testudines",-0.410543711910622,-0.517022550800169,-0.185706653442256,"Aquatic",0.469691219427546,"Hidden_necked",24,1,0,0,0,1,0,5
"6","Cuora amboinensis","Cuora","Geoemydidae","Testudines",-0.405093827853042,-0.663606856955286,-0.826913362645058,"Aquatic",-0.257709823791567,"Hidden_necked",16,1,0,0,0,1,0,6
"7","Cuora mccordi","Cuora","Geoemydidae","Testudines",-0.40959214485295,-0.648948426339775,-0.826913362645058,"Aquatic",-0.776142584857821,"Hidden_necked",19,1,0,0,0,1,0,7
"8","Dermatemys mawii","Dermatemys","Dermatemydidae","Testudines",-0.305611817278159,-0.399755105876075,0.882971195229081,"Aquatic",-1.11591544057201,"Hidden_necked",7,1,0,0,0,1,0,8
"9","Dermochelys coriacea","Dermochelys","Dermochelyidae","Testudines",3.54823476629667,1.71985396112692,1.95164904390042,"Marine",1.07585875544347,"Hidden_necked",10,0,0,1,0,1,0,9
"10","Emydura subglobosa","Emydura","Chelidae","Testudines",-0.40935901092382,-0.458388828338122,0.605114954574533,"Aquatic",0.0852533873753396,"Side_necked",14,1,0,0,0,0,1,10
"11","Gopherus agassizii","Gopherus","Testudinidae","Testudines",-0.397649978279156,-0.520185920308612,-0.185706653442256,"Terrestrial",0.527117617576424,"Hidden_necked",16,0,0,0,1,1,0,11
"12","Malaclemys terrapin","Malaclemys","Emydidae","Testudines",-0.408662204319315,-0.443730397722611,-0.541932602999368,"Aquatic_Marine",-1.02658548789598,"Hidden_necked",18,0,1,0,0,1,0,12
"13","Mesoclemmys tuberculata","Mesoclemmys","Chelidae","Testudines",-0.408121541218364,-0.502364120184657,0.183679071446352,"Aquatic",-0.974476348834963,"Side_necked",12,1,0,0,0,0,1,13
"14","Pelodiscus sinensis","Pelodiscus","Trionychidae","Testudines",-0.370491389392213,-0.26782923033647,0.882971195229081,"Aquatic",-1.24352965868063,"Hidden_necked",7,1,0,0,0,1,0,14
"15","Pelusios castaneus","Pelusios","Pelomedusidae","Testudines",-0.404114261344966,-0.341121383414029,2.12976201867897,"Aquatic",0.023041456047389,"Side_necked",4,1,0,0,0,0,1,15
"16","Platysternon megacephalum","Platysternon","Platysternidae","Testudines",-0.41215791566482,-0.619631565108751,-0.898158552556481,"Aquatic",-0.615029634495693,"Hidden_necked",20,1,0,0,0,1,0,16
"17","Podocnemis expansa","Podocnemis","Podocnemididae","Testudines",-0.256952138192618,1.98956908445233,-0.898158552556481,"Aquatic",0.118752119628851,"Side_necked",8,1,0,0,0,0,1,17
"18","Terrapene mexicana","Terrapene","Emydidae","Testudines",-0.410586327040796,-0.581519645508421,-0.185706653442256,"Terrestrial",2.92626491801841,"Hidden_necked",20,0,0,0,1,1,0,18
