100073at32523	13735_0:0024ff
100078at32523	13735_0:002070
100088at32523	13735_0:002673
100098at32523	13735_0:001733
1000at32523	13735_0:0018e9
100144at32523	13735_0:000745
100151at32523	13735_0:0005ff
100155at32523	13735_0:002981
100325at32523	13735_0:001b4b
10041at32523	13735_0:002002
100516at32523	13735_0:0011ea
100560at32523	13735_0:0027bf
100592at32523	13735_0:0023df
100617at32523	13735_0:002257
100624at32523	13735_0:002ade
100631at32523	13735_0:003db8
100632at32523	13735_0:000203
100736at32523	13735_0:002317
100783at32523	13735_0:0047da
100796at32523	13735_0:0034bf
100824at32523	13735_0:002161
100932at32523	13735_0:003edf
101012at32523	13735_0:0011bc
101090at32523	13735_0:003e25
101114at32523	13735_0:0015d9
101120at32523	13735_0:0042ca
101129at32523	13735_0:001d6b
101134at32523	13735_0:0044dc
101164at32523	13735_0:00106d
101208at32523	13735_0:00337f
101216at32523	13735_0:003cff
101251at32523	13735_0:00064f
101303at32523	13735_0:001030
10130at32523	13735_0:0022af
101373at32523	13735_0:00383c
101417at32523	13735_0:001a98
101514at32523	13735_0:001eb7
101524at32523	13735_0:0048a3
101542at32523	13735_0:000caa
101591at32523	13735_0:003c24
101655at32523	13735_0:002671
101675at32523	13735_0:000ec7
101797at32523	13735_0:001929
101803at32523	13735_0:004672
101948at32523	13735_0:0037df
101949at32523	13735_0:000167
102110at32523	13735_0:002299
102347at32523	13735_0:00446d
102420at32523	13735_0:0019ee
102422at32523	13735_0:000298
102443at32523	13735_0:00474e
10244at32523	13735_0:001b8e
102529at32523	13735_0:0021d8
102595at32523	13735_0:004063
102616at32523	13735_0:004316
102721at32523	13735_0:0047cd
102767at32523	13735_0:000083
102781at32523	13735_0:003bb6
102875at32523	13735_0:002332
102905at32523	13735_0:000caf
103094at32523	13735_0:003e3a
103109at32523	13735_0:0030f8
103160at32523	13735_0:003fa7
103182at32523	13735_0:0016fd
10325at32523	13735_0:000dfe
103286at32523	13735_0:003bd3
103318at32523	13735_0:004997
103350at32523	13735_0:000b2f
103359at32523	13735_0:004983
10341at32523	13735_0:0021dc
103448at32523	13735_0:001715
103579at32523	13735_0:004b12
103602at32523	13735_0:002e15
103627at32523	13735_0:000839
103631at32523	13735_0:003d08
103634at32523	13735_0:002eaf
103667at32523	13735_0:003bba
103676at32523	13735_0:0047e9
103716at32523	13735_0:001f17
103791at32523	13735_0:001db9
103953at32523	13735_0:002276
103961at32523	13735_0:004b02
104070at32523	13735_0:0015a1
104098at32523	13735_0:0049d9
