"gene","pval"
"101303at32523",2.26321358085983e-129
"101542at32523",5.22670637544352e-197
"101949at32523",3.33930307409394e-73
"102110at32523",4.19650655181055e-61
"104070at32523",4.62771956256737e-120
"105916at32523",6.71341149011673e-110
"106441at32523",4.71705710913784e-139
"107213at32523",8.63415485286233e-72
"109112at32523",5.87192670945075e-85
"109646at32523",4.57673940114419e-94
"113062at32523",3.65305344775338e-182
"113607at32523",7.0395460675655e-138
"115499at32523",7.1948046209189e-155
"116132at32523",8.16100100459405e-307
"119144at32523",1.42893213890069e-267
"121184at32523",2.07893957246198e-199
"124683at32523",1.67992853083077e-70
"124988at32523",2.56564314807442e-113
"126395at32523",1.2013099511691e-110
"126597at32523",4.00168357079649e-70
"128422at32523",2.42611609511575e-253
"132408at32523",4.90211372928769e-145
"133426at32523",0
"134798at32523",3.91877654718229e-197
"135005at32523",3.28619891993407e-104
"135131at32523",1.89050294501437e-225
"135387at32523",1.0354696274526e-184
"140221at32523",7.77031613180507e-123
"141057at32523",2.2980336043078e-185
"142022at32523",4.35037911909254e-143
"142484at32523",0
"143078at32523",1.55461824614559e-130
"144618at32523",1.82538426586927e-71
"144781at32523",8.94873671494939e-113
"150509at32523",3.62814372819095e-116
"154801at32523",1.92551312197414e-135
"157171at32523",1.0336652625755e-163
"158268at32523",1.10239249167335e-240
"165745at32523",2.64417388592316e-177
"16602at32523",2.51747921144116e-192
"166537at32523",8.7148148713866e-221
"169435at32523",9.40430889262357e-155
"171646at32523",1.01432829710538e-68
"172222at32523",2.80364168533614e-180
"172434at32523",1.87165539314523e-306
"173903at32523",1.62306979300064e-263
"174675at32523",2.36187356592597e-204
"174944at32523",1.15439959914828e-219
"177431at32523",1.39862372377175e-121
"177525at32523",3.68884212138443e-70
"178320at32523",2.93289111815047e-122
"178984at32523",2.18371840514251e-192
"179871at32523",1.29183774023024e-158
"180491at32523",1.60379759066088e-110
"181904at32523",5.04815216512686e-84
"182203at32523",8.09708154683171e-229
"182302at32523",4.07404806916766e-244
"182549at32523",2.14028606584582e-163
"184192at32523",1.72294228026259e-107
"185680at32523",1.61562749387217e-279
"188147at32523",2.38051144793521e-79
"189115at32523",1.51708300694144e-84
"191037at32523",1.94000786850654e-303
"191792at32523",2.54030051348861e-143
"192580at32523",1.46956847767761e-115
"193873at32523",8.59878252543141e-175
"194637at32523",2.01199480914327e-86
"194996at32523",7.04273584800125e-206
"196611at32523",1.83673614497049e-216
"199537at32523",3.56543243984418e-78
"200165at32523",3.34453944629145e-143
"204259at32523",1.53160288943959e-79
"209160at32523",5.92805962169813e-97
"209752at32523",6.22852524448209e-144
"217270at32523",1.94291430280308e-258
"219664at32523",4.87198091445617e-218
"219728at32523",2.47459960731341e-199
"224102at32523",3.86149428369613e-146
"224157at32523",7.47842394729707e-111
"224356at32523",8.77911790665086e-155
"224357at32523",2.02235944785193e-85
"226027at32523",3.24730865949186e-227
"228524at32523",8.09650293467692e-63
"229324at32523",2.70107099632894e-315
"230300at32523",5.71656924392597e-182
"230581at32523",2.35415500848681e-90
"230953at32523",1.30038593437467e-201
"231432at32523",3.0817590937229e-72
"232639at32523",9.36247368148838e-173
"233591at32523",3.0107463260223e-105
"235866at32523",0
"23620at32523",2.12112513536528e-64
"237414at32523",7.86335575411787e-226
"237986at32523",1.9062917986952e-101
"238978at32523",0
"239568at32523",1.86412635903942e-62
"239803at32523",5.08128206176776e-258
"240467at32523",1.27234552453083e-104
"242587at32523",5.77628858293668e-86
"242688at32523",1.24786004223586e-77
"243139at32523",2.05287184007726e-88
"243385at32523",1.34358381799798e-122
"24340at32523",4.25925670712945e-198
"24343at32523",1.30106616540157e-124
"244088at32523",3.71306849162822e-234
"244174at32523",1.49580749542876e-259
"244751at32523",2.32395279663855e-184
