"","Gene","Species"
"1","podExp","102110at32523"
"2","carIns","104070at32523"
"3","cheAbi","104070at32523"
"4","cheMyd","104070at32523"
"5","cheSer","104070at32523"
"6","chrPic","104070at32523"
"7","cuoMcc","104070at32523"
"8","derCor","104070at32523"
"9","derMaw","104070at32523"
"10","emySub","104070at32523"
"11","gopAga","104070at32523"
"12","malTer","104070at32523"
"13","mesTub","104070at32523"
"14","pelCas","104070at32523"
"15","pelSin","104070at32523"
"16","plaMeg","104070at32523"
"17","podExp","104070at32523"
"18","terMex","104070at32523"
"19","chrPic","105916at32523"
"20","derCor","105916at32523"
"21","gopAga","105916at32523"
"22","malTer","105916at32523"
"23","mesTub","105916at32523"
"24","pelCas","105916at32523"
"25","carIns","115499at32523"
"26","cheAbi","115499at32523"
"27","cheMyd","115499at32523"
"28","chrPic","115499at32523"
"29","cuoMcc","115499at32523"
"30","derCor","115499at32523"
"31","derMaw","115499at32523"
"32","emySub","115499at32523"
"33","gopAga","115499at32523"
"34","malTer","115499at32523"
"35","mesTub","115499at32523"
"36","pelCas","115499at32523"
"37","pelSin","115499at32523"
"38","plaMeg","115499at32523"
"39","podExp","115499at32523"
"40","carIns","124988at32523"
"41","cheAbi","124988at32523"
"42","cheMyd","124988at32523"
"43","cheSer","124988at32523"
"44","chrPic","124988at32523"
"45","cuoAmb","124988at32523"
"46","cuoMcc","124988at32523"
"47","derCor","124988at32523"
"48","gopAga","124988at32523"
"49","pelCas","124988at32523"
"50","pelSin","124988at32523"
"51","plaMeg","124988at32523"
"52","terMex","124988at32523"
"53","cheMyd","126505at32523"
"54","emySub","126505at32523"
"55","mesTub","126505at32523"
"56","pelCas","126505at32523"
"57","podExp","126505at32523"
"58","carIns","132408at32523"
"59","cheAbi","132408at32523"
"60","cheSer","132408at32523"
"61","chrPic","132408at32523"
"62","cuoMcc","132408at32523"
"63","derCor","132408at32523"
"64","derMaw","132408at32523"
"65","emySub","132408at32523"
"66","gopAga","132408at32523"
"67","malTer","132408at32523"
"68","mesTub","132408at32523"
"69","pelCas","132408at32523"
"70","pelSin","132408at32523"
"71","plaMeg","132408at32523"
"72","podExp","132408at32523"
"73","terMex","132408at32523"
"74","cheAbi","133426at32523"
"75","cheMyd","133426at32523"
"76","cheSer","133426at32523"
"77","chrPic","133426at32523"
"78","cuoAmb","133426at32523"
"79","cuoMcc","133426at32523"
"80","derMaw","133426at32523"
"81","emySub","133426at32523"
"82","gopAga","133426at32523"
"83","malTer","133426at32523"
"84","mesTub","133426at32523"
"85","pelCas","133426at32523"
"86","pelSin","133426at32523"
"87","plaMeg","133426at32523"
"88","podExp","133426at32523"
"89","terMex","133426at32523"
"90","carIns","134798at32523"
"91","cheAbi","134798at32523"
"92","cheSer","134798at32523"
"93","chrPic","134798at32523"
"94","cuoAmb","134798at32523"
"95","cuoMcc","134798at32523"
"96","derCor","134798at32523"
"97","emySub","134798at32523"
"98","gopAga","134798at32523"
"99","malTer","134798at32523"
"100","mesTub","134798at32523"
"101","pelSin","134798at32523"
"102","plaMeg","134798at32523"
"103","podExp","134798at32523"
"104","terMex","134798at32523"
"105","pelSin","135005at32523"
"106","cheAbi","143078at32523"
"107","emySub","143078at32523"
"108","malTer","143078at32523"
"109","podExp","143078at32523"
"110","carIns","143634at32523"
"111","cheAbi","143634at32523"
"112","cheMyd","143634at32523"
"113","chrPic","143634at32523"
"114","cuoAmb","143634at32523"
"115","cuoMcc","143634at32523"
"116","derCor","143634at32523"
"117","derMaw","143634at32523"
"118","emySub","143634at32523"
"119","gopAga","143634at32523"
"120","malTer","143634at32523"
"121","mesTub","143634at32523"
"122","pelCas","143634at32523"
"123","pelSin","143634at32523"
"124","plaMeg","143634at32523"
"125","podExp","143634at32523"
"126","malTer","144001at32523"
"127","pelSin","144001at32523"
"128","podExp","144001at32523"
"129","carIns","158268at32523"
"130","cheAbi","158268at32523"
"131","cheMyd","158268at32523"
"132","cheSer","158268at32523"
"133","chrPic","158268at32523"
"134","cuoAmb","158268at32523"
"135","cuoMcc","158268at32523"
"136","derCor","158268at32523"
"137","derMaw","158268at32523"
"138","emySub","158268at32523"
"139","gopAga","158268at32523"
"140","malTer","158268at32523"
"141","mesTub","158268at32523"
"142","pelSin","158268at32523"
"143","plaMeg","158268at32523"
"144","podExp","158268at32523"
"145","terMex","158268at32523"
"146","carIns","159884at32523"
"147","cheAbi","159884at32523"
"148","cheMyd","159884at32523"
"149","cheSer","159884at32523"
"150","chrPic","159884at32523"
"151","cuoAmb","159884at32523"
"152","cuoMcc","159884at32523"
"153","derCor","159884at32523"
"154","derMaw","159884at32523"
"155","emySub","159884at32523"
"156","gopAga","159884at32523"
"157","malTer","159884at32523"
"158","pelCas","159884at32523"
"159","pelSin","159884at32523"
"160","plaMeg","159884at32523"
"161","podExp","159884at32523"
"162","terMex","159884at32523"
"163","derCor","168156at32523"
"164","gopAga","168156at32523"
"165","podExp","168156at32523"
"166","cheAbi","168477at32523"
"167","cuoAmb","168477at32523"
"168","cuoMcc","168477at32523"
"169","gopAga","168477at32523"
"170","pelSin","168477at32523"
"171","podExp","168477at32523"
"172","malTer","169719at32523"
"173","pelCas","169719at32523"
"174","plaMeg","169719at32523"
"175","carIns","173598at32523"
"176","cheAbi","173598at32523"
"177","cheMyd","173598at32523"
"178","cheSer","173598at32523"
"179","chrPic","173598at32523"
"180","cuoAmb","173598at32523"
"181","cuoMcc","173598at32523"
"182","derCor","173598at32523"
"183","derMaw","173598at32523"
"184","emySub","173598at32523"
"185","gopAga","173598at32523"
"186","malTer","173598at32523"
"187","mesTub","173598at32523"
"188","pelCas","173598at32523"
"189","pelSin","173598at32523"
"190","plaMeg","173598at32523"
"191","podExp","173598at32523"
"192","terMex","173598at32523"
"193","mesTub","174347at32523"
"194","pelCas","174347at32523"
"195","plaMeg","174347at32523"
"196","podExp","174347at32523"
"197","cheSer","178523at32523"
"198","cuoMcc","178523at32523"
"199","derCor","178523at32523"
"200","derMaw","178523at32523"
"201","malTer","178523at32523"
"202","mesTub","178523at32523"
"203","pelCas","178523at32523"
"204","plaMeg","178523at32523"
"205","terMex","178523at32523"
"206","plaMeg","185471at32523"
"207","terMex","185471at32523"
"208","carIns","185680at32523"
"209","cheAbi","185680at32523"
"210","cheSer","185680at32523"
"211","chrPic","185680at32523"
"212","cuoAmb","185680at32523"
"213","cuoMcc","185680at32523"
"214","derMaw","185680at32523"
"215","emySub","185680at32523"
"216","gopAga","185680at32523"
"217","malTer","185680at32523"
"218","mesTub","185680at32523"
"219","pelCas","185680at32523"
"220","pelSin","185680at32523"
"221","plaMeg","185680at32523"
"222","cheAbi","185747at32523"
"223","emySub","185747at32523"
"224","mesTub","185747at32523"
"225","chrPic","193873at32523"
"226","emySub","193873at32523"
"227","gopAga","193873at32523"
"228","mesTub","193873at32523"
"229","pelSin","193873at32523"
"230","plaMeg","193873at32523"
"231","podExp","193873at32523"
"232","terMex","193873at32523"
"233","chrPic","194240at32523"
"234","cuoAmb","194240at32523"
"235","derCor","200625at32523"
"236","pelSin","200625at32523"
"237","cheMyd","203712at32523"
"238","pelSin","203712at32523"
"239","podExp","203712at32523"
"240","cuoMcc","209160at32523"
"241","cheAbi","212618at32523"
"242","cheMyd","212618at32523"
"243","chrPic","212618at32523"
"244","cuoAmb","212618at32523"
"245","cuoMcc","212618at32523"
"246","derCor","212618at32523"
"247","derMaw","212618at32523"
"248","gopAga","212618at32523"
"249","malTer","212618at32523"
"250","plaMeg","212618at32523"
"251","carIns","213031at32523"
"252","cheAbi","213031at32523"
"253","cheMyd","213031at32523"
"254","derCor","213031at32523"
"255","derMaw","213031at32523"
"256","emySub","213031at32523"
"257","gopAga","213031at32523"
"258","malTer","213031at32523"
"259","mesTub","213031at32523"
"260","pelCas","213031at32523"
"261","pelSin","213031at32523"
"262","podExp","213031at32523"
"263","carIns","221129at32523"
"264","cheAbi","221129at32523"
"265","cheMyd","221129at32523"
"266","cheSer","221129at32523"
"267","chrPic","221129at32523"
"268","cuoAmb","221129at32523"
"269","cuoMcc","221129at32523"
"270","derMaw","221129at32523"
"271","emySub","221129at32523"
"272","gopAga","221129at32523"
"273","malTer","221129at32523"
"274","mesTub","221129at32523"
"275","pelCas","221129at32523"
"276","pelSin","221129at32523"
"277","plaMeg","221129at32523"
"278","podExp","221129at32523"
"279","terMex","221129at32523"
"280","carIns","229340at32523"
"281","derCor","229340at32523"
"282","derMaw","229340at32523"
"283","pelCas","229340at32523"
"284","terMex","229340at32523"
"285","chrPic","230581at32523"
"286","derMaw","230581at32523"
"287","malTer","230581at32523"
"288","pelCas","230581at32523"
"289","pelSin","230581at32523"
"290","terMex","230581at32523"
"291","cuoMcc","242587at32523"
"292","derCor","242587at32523"
"293","derMaw","242587at32523"
"294","gopAga","242587at32523"
"295","malTer","242587at32523"
"296","pelCas","242587at32523"
"297","pelSin","242587at32523"
"298","cheAbi","24340at32523"
"299","cheMyd","24340at32523"
"300","chrPic","24340at32523"
"301","cuoAmb","24340at32523"
"302","cuoMcc","24340at32523"
"303","derCor","24340at32523"
"304","derMaw","24340at32523"
"305","emySub","24340at32523"
"306","gopAga","24340at32523"
"307","malTer","24340at32523"
"308","mesTub","24340at32523"
"309","pelCas","24340at32523"
"310","pelSin","24340at32523"
"311","plaMeg","24340at32523"
"312","podExp","24340at32523"
"313","terMex","24340at32523"
"314","malTer","244174at32523"
"315","carIns","246490at32523"
"316","cheAbi","246490at32523"
"317","cheMyd","246490at32523"
"318","cheSer","246490at32523"
"319","chrPic","246490at32523"
"320","cuoAmb","246490at32523"
"321","cuoMcc","246490at32523"
"322","derCor","246490at32523"
"323","derMaw","246490at32523"
"324","emySub","246490at32523"
"325","gopAga","246490at32523"
"326","malTer","246490at32523"
"327","mesTub","246490at32523"
"328","pelCas","246490at32523"
"329","pelSin","246490at32523"
"330","plaMeg","246490at32523"
"331","podExp","246490at32523"
"332","cheAbi","249113at32523"
"333","derCor","249113at32523"
"334","emySub","249113at32523"
"335","malTer","249113at32523"
"336","mesTub","249113at32523"
"337","pelSin","249113at32523"
"338","plaMeg","249113at32523"
"339","terMex","249113at32523"
"340","cheSer","250658at32523"
"341","chrPic","250658at32523"
"342","cuoAmb","250658at32523"
"343","cuoMcc","250658at32523"
"344","derCor","250658at32523"
"345","emySub","250658at32523"
"346","gopAga","250658at32523"
"347","malTer","250658at32523"
"348","pelCas","250658at32523"
"349","pelSin","250658at32523"
"350","plaMeg","250658at32523"
"351","terMex","250658at32523"
"352","emySub","250976at32523"
"353","pelSin","250976at32523"
"354","terMex","250976at32523"
"355","carIns","260366at32523"
"356","cheMyd","260366at32523"
"357","chrPic","260366at32523"
"358","derCor","260366at32523"
"359","gopAga","260366at32523"
"360","mesTub","260366at32523"
"361","plaMeg","260366at32523"
"362","terMex","260366at32523"
"363","carIns","262489at32523"
"364","cheAbi","262489at32523"
"365","cheMyd","262489at32523"
"366","cheSer","262489at32523"
"367","chrPic","262489at32523"
"368","cuoAmb","262489at32523"
"369","cuoMcc","262489at32523"
"370","derCor","262489at32523"
"371","derMaw","262489at32523"
"372","emySub","262489at32523"
"373","gopAga","262489at32523"
"374","malTer","262489at32523"
"375","mesTub","262489at32523"
"376","pelSin","262489at32523"
"377","plaMeg","262489at32523"
"378","podExp","262489at32523"
"379","terMex","262489at32523"
"380","carIns","264559at32523"
"381","cheAbi","264559at32523"
"382","cheMyd","264559at32523"
"383","cheSer","264559at32523"
"384","chrPic","264559at32523"
"385","cuoMcc","264559at32523"
"386","derMaw","264559at32523"
"387","emySub","264559at32523"
"388","gopAga","264559at32523"
"389","malTer","264559at32523"
"390","mesTub","264559at32523"
"391","pelCas","264559at32523"
"392","pelSin","264559at32523"
"393","plaMeg","264559at32523"
"394","podExp","264559at32523"
"395","terMex","264559at32523"
"396","pelSin","264604at32523"
"397","emySub","264963at32523"
"398","pelSin","264963at32523"
"399","podExp","264963at32523"
"400","gopAga","269194at32523"
"401","mesTub","269194at32523"
"402","cheAbi","270101at32523"
"403","mesTub","270101at32523"
"404","pelSin","270101at32523"
"405","carIns","275846at32523"
"406","podExp","275846at32523"
"407","cuoMcc","279702at32523"
"408","derCor","279702at32523"
"409","podExp","279702at32523"
"410","cheAbi","282407at32523"
"411","gopAga","282407at32523"
"412","pelCas","282407at32523"
"413","cheMyd","282456at32523"
"414","cheSer","282456at32523"
"415","emySub","282456at32523"
"416","mesTub","282456at32523"
"417","pelSin","282456at32523"
"418","plaMeg","282456at32523"
"419","terMex","282456at32523"
"420","carIns","282898at32523"
"421","cheMyd","282898at32523"
"422","cheSer","282898at32523"
"423","chrPic","282898at32523"
"424","cuoAmb","282898at32523"
"425","cuoMcc","282898at32523"
"426","derCor","282898at32523"
"427","derMaw","282898at32523"
"428","emySub","282898at32523"
"429","gopAga","282898at32523"
"430","malTer","282898at32523"
"431","pelCas","282898at32523"
"432","plaMeg","282898at32523"
"433","podExp","282898at32523"
"434","pelSin","283406at32523"
"435","cheAbi","290488at32523"
"436","cheMyd","290488at32523"
"437","cheSer","290488at32523"
"438","chrPic","290488at32523"
"439","cuoAmb","290488at32523"
"440","cuoMcc","290488at32523"
"441","emySub","290488at32523"
"442","gopAga","290488at32523"
"443","malTer","290488at32523"
"444","mesTub","290488at32523"
"445","pelSin","290488at32523"
"446","plaMeg","290488at32523"
"447","terMex","290488at32523"
"448","carIns","291010at32523"
"449","cheAbi","291010at32523"
"450","cheMyd","291010at32523"
"451","cheSer","291010at32523"
"452","chrPic","291010at32523"
"453","cuoAmb","291010at32523"
"454","cuoMcc","291010at32523"
"455","derCor","291010at32523"
"456","derMaw","291010at32523"
"457","emySub","291010at32523"
"458","gopAga","291010at32523"
"459","malTer","291010at32523"
"460","mesTub","291010at32523"
"461","pelCas","291010at32523"
"462","pelSin","291010at32523"
"463","plaMeg","291010at32523"
"464","podExp","291010at32523"
"465","terMex","291010at32523"
"466","carIns","294624at32523"
"467","cheAbi","294624at32523"
"468","chrPic","294624at32523"
"469","cuoAmb","294624at32523"
"470","derCor","294624at32523"
"471","derMaw","294624at32523"
"472","emySub","294624at32523"
"473","gopAga","294624at32523"
"474","malTer","294624at32523"
"475","mesTub","294624at32523"
"476","pelCas","294624at32523"
"477","plaMeg","294624at32523"
"478","podExp","294624at32523"
"479","terMex","294624at32523"
"480","cheMyd","294765at32523"
"481","cheSer","294765at32523"
"482","derMaw","294765at32523"
"483","mesTub","294765at32523"
"484","pelCas","294765at32523"
"485","pelSin","294765at32523"
"486","cuoMcc","294828at32523"
"487","mesTub","294828at32523"
"488","mesTub","298630at32523"
"489","carIns","302602at32523"
"490","cheAbi","302602at32523"
"491","cheMyd","302602at32523"
"492","cheSer","302602at32523"
"493","chrPic","302602at32523"
"494","cuoAmb","302602at32523"
"495","cuoMcc","302602at32523"
