100073at32523	8478_0:000611
100078at32523	8478_0:00111f
100088at32523	8478_0:0009fa
100098at32523	8478_0:0043e7
1000at32523	8478_0:004a53
100144at32523	8478_0:004e90
100151at32523	8478_0:002731
100155at32523	8478_0:003121
100325at32523	8478_0:001a22
10041at32523	8478_0:004c08
100516at32523	8478_0:001ded
100560at32523	8478_0:000313
100592at32523	8478_0:001598
100617at32523	8478_0:0026be
100624at32523	8478_0:002581
100631at32523	8478_0:00234d
100632at32523	8478_0:0041a5
100736at32523	8478_0:00288f
100783at32523	8478_0:001751
100796at32523	8478_0:004c9a
100824at32523	8478_0:0025c3
100932at32523	8478_0:000dc7
101012at32523	8478_0:000036
101090at32523	8478_0:000b69
101114at32523	8478_0:004eb6
101120at32523	8478_0:00053b
101129at32523	8478_0:00197c
101134at32523	8478_0:004bf3
101164at32523	8478_0:001114
101208at32523	8478_0:001cd3
101216at32523	8478_0:0036c8
101251at32523	8478_0:004bcf
101303at32523	8478_0:003344
10130at32523	8478_0:004f4c
101373at32523	8478_0:000931
101417at32523	8478_0:003214
101514at32523	8478_0:0015df
101524at32523	8478_0:001a06
101542at32523	8478_0:001efd
101591at32523	8478_0:004d5d
101655at32523	8478_0:000ea0
101675at32523	8478_0:00044f
101797at32523	8478_0:004343
101803at32523	8478_0:0026cd
101948at32523	8478_0:002f43
101949at32523	8478_0:000d53
102110at32523	8478_0:004f07
102347at32523	8478_0:004ee1
102420at32523	8478_0:001473
102422at32523	8478_0:0020bf
102443at32523	8478_0:0043fb
10244at32523	8478_0:001d93
102529at32523	8478_0:004ec5
102595at32523	8478_0:002965
102616at32523	8478_0:001724
102721at32523	8478_0:001a73
102767at32523	8478_0:002b29
102781at32523	8478_0:005134
102875at32523	8478_0:0013fe
102905at32523	8478_0:004108
103094at32523	8478_0:000bbb
103109at32523	8478_0:0050c8
103160at32523	8478_0:005229
103182at32523	8478_0:001b5b
10325at32523	8478_0:0010d6
103286at32523	8478_0:005133
103318at32523	8478_0:0001ef
103350at32523	8478_0:0046fa
103359at32523	8478_0:0000f8
10341at32523	8478_0:004ebd
103448at32523	8478_0:004406
103579at32523	8478_0:0019b6
103602at32523	8478_0:002b17
103627at32523	8478_0:000f61
103631at32523	8478_0:004e2a
103634at32523	8478_0:001d0b
103667at32523	8478_0:00510c
103676at32523	8478_0:000a24
103716at32523	8478_0:0042e5
103791at32523	8478_0:002199
103953at32523	8478_0:004f24
103961at32523	8478_0:0011df
104070at32523	8478_0:001eb3
104098at32523	8478_0:00418d
104246at32523	8478_0:001330
10430at32523	8478_0:0015c2
104336at32523	8478_0:0005cf
104339at32523	8478_0:002522
104395at32523	8478_0:001026
104547at32523	8478_0:001a7c
104554at32523	8478_0:000632
10459at32523	8478_0:005159
104661at32523	8478_0:00026b
104828at32523	8478_0:005237
104841at32523	8478_0:001f33
104853at32523	8478_0:004380
104932at32523	8478_0:00361b
104943at32523	8478_0:0010d1
105040at32523	8478_0:000b2f
105125at32523	8478_0:0004e7
105130at32523	8478_0:0005b9
105251at32523	8478_0:00171a
105267at32523	8478_0:000599
105327at32523	8478_0:001a26
105411at32523	8478_0:001325
105469at32523	8478_0:000abd
105477at32523	8478_0:0020ef
105574at32523	8478_0:000f8d
105588at32523	8478_0:0013a9
105594at32523	8478_0:005100
105768at32523	8478_0:00037f
10578at32523	8478_0:002fbc
10583at32523	8478_0:001a8c
105855at32523	8478_0:00105e
105863at32523	8478_0:00420e
105916at32523	8478_0:0019b2
