100073at32523	8469_0:000944
100078at32523	8469_0:00171a
100088at32523	8469_0:002542
100098at32523	8469_0:00229b
1000at32523	8469_0:0013d9
100144at32523	8469_0:0022dc
100151at32523	8469_0:0011f1
100155at32523	8469_0:002d6b
100325at32523	8469_0:000a53
10041at32523	8469_0:002ecb
100516at32523	8469_0:00359f
100560at32523	8469_0:002fb3
100592at32523	8469_0:002d9b
100617at32523	8469_0:001863
100624at32523	8469_0:002dc9
100631at32523	8469_0:001310
100632at32523	8469_0:003ed0
100736at32523	8469_0:000032
100783at32523	8469_0:00140c
100796at32523	8469_0:0025f3
100824at32523	8469_0:000ab3
100932at32523	8469_0:000c23
101012at32523	8469_0:001edb
101062at32523	8469_0:002a21
101090at32523	8469_0:001bf9
101114at32523	8469_0:0000cc
101120at32523	8469_0:0037b3
101129at32523	8469_0:004196
101134at32523	8469_0:000460
101164at32523	8469_0:0022ba
101208at32523	8469_0:002cfc
101216at32523	8469_0:002284
101251at32523	8469_0:000d23
101303at32523	8469_0:0002fa
10130at32523	8469_0:0030af
101373at32523	8469_0:001e90
101417at32523	8469_0:000baa
101514at32523	8469_0:003fdf
101524at32523	8469_0:001640
101542at32523	8469_0:001269
101591at32523	8469_0:00424d
101655at32523	8469_0:00253a
101675at32523	8469_0:0041e2
101797at32523	8469_0:001dfb
101803at32523	8469_0:002962
101925at32523	8469_0:00413c
101948at32523	8469_0:003afd
101949at32523	8469_0:0008c8
102110at32523	8469_0:0031cc
102347at32523	8469_0:0032d1
102420at32523	8469_0:001f93
102422at32523	8469_0:003417
102443at32523	8469_0:00175e
102443at32523	8469_0:002e7c
10244at32523	8469_0:003058
102529at32523	8469_0:001062
102595at32523	8469_0:000ea2
102616at32523	8469_0:0019c4
102721at32523	8469_0:00004e
102767at32523	8469_0:004257
102781at32523	8469_0:0015a1
102905at32523	8469_0:000e18
103094at32523	8469_0:001bbf
103109at32523	8469_0:00038f
103160at32523	8469_0:00133c
103182at32523	8469_0:002a0f
10325at32523	8469_0:001565
103286at32523	8469_0:00425d
103318at32523	8469_0:00167f
103350at32523	8469_0:001ffb
103359at32523	8469_0:00165e
10341at32523	8469_0:001083
103448at32523	8469_0:0038d0
103579at32523	8469_0:0004b2
103602at32523	8469_0:0024a2
103627at32523	8469_0:0004e9
103631at32523	8469_0:001499
103634at32523	8469_0:0042dd
103667at32523	8469_0:0023e5
103676at32523	8469_0:004155
103716at32523	8469_0:00029c
103791at32523	8469_0:002d5d
103953at32523	8469_0:000a23
103961at32523	8469_0:0000f6
104070at32523	8469_0:002424
104098at32523	8469_0:0029d1
104246at32523	8469_0:00119b
10430at32523	8469_0:001b73
10430at32523	8469_0:002626
104336at32523	8469_0:003b1b
104339at32523	8469_0:002753
104395at32523	8469_0:00015d
104547at32523	8469_0:001037
104554at32523	8469_0:0034c6
10459at32523	8469_0:003049
104661at32523	8469_0:00026a
104828at32523	8469_0:0018f2
104841at32523	8469_0:00292d
104853at32523	8469_0:000a6f
104932at32523	8469_0:003b5d
104943at32523	8469_0:00155a
104997at32523	8469_0:003518
105040at32523	8469_0:003e1d
105125at32523	8469_0:002443
105130at32523	8469_0:0037cb
105251at32523	8469_0:002220
105267at32523	8469_0:000f51
105327at32523	8469_0:000a42
105411at32523	8469_0:001187
105469at32523	8469_0:000515
105477at32523	8469_0:0032e1
105574at32523	8469_0:000fb7
105588at32523	8469_0:001a41
105594at32523	8469_0:001b0d
105768at32523	8469_0:000267
10578at32523	8469_0:003903
10583at32523	8469_0:001038
105855at32523	8469_0:000687
105863at32523	8469_0:00394e
105916at32523	8469_0:0004c5
105917at32523	8469_0:00425e
105920at32523	8469_0:00120f
106036at32523	8469_0:003524
106057at32523	8469_0:0036f4
106122at32523	8469_0:002549
106313at32523	8469_0:002824
106366at32523	8469_0:004516
106408at32523	8469_0:004207
106441at32523	8469_0:0011e8
106522at32523	8469_0:000bb2
106549at32523	8469_0:0035f6
106672at32523	8469_0:001b6b
106672at32523	8469_0:001c23
106709at32523	8469_0:0041d2
106726at32523	8469_0:002aae
106804at32523	8469_0:00157e
106817at32523	8469_0:000f98
106876at32523	8469_0:0034af
106882at32523	8469_0:0044d3
106895at32523	8469_0:0011ac
106918at32523	8469_0:0017e1
106954at32523	8469_0:000dd2
106959at32523	8469_0:004437
106993at32523	8469_0:002cd7
107047at32523	8469_0:001cc2
107049at32523	8469_0:002ec0
107057at32523	8469_0:0012f1
107180at32523	8469_0:002880
107207at32523	8469_0:0044da
107213at32523	8469_0:0007d4
10722at32523	8469_0:004508
107250at32523	8469_0:000b34
107280at32523	8469_0:002694
107285at32523	8469_0:000b86
107285at32523	8469_0:002fc1
107381at32523	8469_0:004077
107411at32523	8469_0:000b45
107444at32523	8469_0:0008eb
107460at32523	8469_0:0043b2
107469at32523	8469_0:000045
107527at32523	8469_0:002eb2
107601at32523	8469_0:000a71
107649at32523	8469_0:003abb
107664at32523	8469_0:001ea9
107685at32523	8469_0:001db2
107749at32523	8469_0:000174
107952at32523	8469_0:002a96
107978at32523	8469_0:0012e0
108138at32523	8469_0:00014c
108402at32523	8469_0:002409
108424at32523	8469_0:00058f
108497at32523	8469_0:0010e4
108666at32523	8469_0:003dec
