100073at32523	1415176_0:003aa1
100078at32523	1415176_0:0018ab
100088at32523	1415176_0:0035b5
100098at32523	1415176_0:001847
1000at32523	1415176_0:001150
100144at32523	1415176_0:0023b7
100151at32523	1415176_0:00261e
100155at32523	1415176_0:002ab3
100325at32523	1415176_0:0039f7
10041at32523	1415176_0:000bc0
100516at32523	1415176_0:002c85
100560at32523	1415176_0:0015d2
100592at32523	1415176_0:003999
100592at32523	1415176_0:003fa1
100617at32523	1415176_0:0026be
100624at32523	1415176_0:0022e2
100631at32523	1415176_0:003ffd
100632at32523	1415176_0:003b0a
100736at32523	1415176_0:003dc4
100783at32523	1415176_0:0037c0
100796at32523	1415176_0:00110b
100824at32523	1415176_0:002a1b
100932at32523	1415176_0:0033c6
101012at32523	1415176_0:003cfd
101090at32523	1415176_0:001e8b
101114at32523	1415176_0:0008bd
101120at32523	1415176_0:0010a1
101129at32523	1415176_0:0016ff
101134at32523	1415176_0:00099f
101164at32523	1415176_0:00243c
101208at32523	1415176_0:0029cd
101216at32523	1415176_0:001937
101251at32523	1415176_0:002301
101303at32523	1415176_0:0041ef
10130at32523	1415176_0:0034b4
101373at32523	1415176_0:002d4e
101417at32523	1415176_0:001935
101514at32523	1415176_0:0036f9
101524at32523	1415176_0:002117
101542at32523	1415176_0:00030f
101591at32523	1415176_0:00166a
101655at32523	1415176_0:0035b2
101675at32523	1415176_0:001424
101797at32523	1415176_0:002529
101803at32523	1415176_0:002ae3
101948at32523	1415176_0:003f17
101949at32523	1415176_0:00087a
102110at32523	1415176_0:0008c8
102347at32523	1415176_0:003811
102420at32523	1415176_0:001dc0
102422at32523	1415176_0:001115
102443at32523	1415176_0:003513
10244at32523	1415176_0:003970
102529at32523	1415176_0:000c03
102595at32523	1415176_0:002672
102616at32523	1415176_0:003f0b
102721at32523	1415176_0:000b68
102767at32523	1415176_0:000217
102781at32523	1415176_0:0009d4
102875at32523	1415176_0:003399
102905at32523	1415176_0:000088
103094at32523	1415176_0:001ea1
103160at32523	1415176_0:000e75
103182at32523	1415176_0:00204a
10325at32523	1415176_0:000929
103286at32523	1415176_0:001c17
103318at32523	1415176_0:000ea8
103350at32523	1415176_0:000a30
103359at32523	1415176_0:00060f
10341at32523	1415176_0:003bee
103448at32523	1415176_0:002b68
103579at32523	1415176_0:00162d
103602at32523	1415176_0:001ad2
103627at32523	1415176_0:0019de
103631at32523	1415176_0:0033e0
103634at32523	1415176_0:000ead
103667at32523	1415176_0:001e1c
103676at32523	1415176_0:00178e
103716at32523	1415176_0:0030b5
103791at32523	1415176_0:004112
103953at32523	1415176_0:000ec4
103961at32523	1415176_0:001f18
104070at32523	1415176_0:003a04
104098at32523	1415176_0:00301b
104246at32523	1415176_0:000c2e
10430at32523	1415176_0:00347f
104336at32523	1415176_0:00059d
104339at32523	1415176_0:003588
104395at32523	1415176_0:0002da
104547at32523	1415176_0:00136b
104554at32523	1415176_0:00391c
10459at32523	1415176_0:0020e2
104661at32523	1415176_0:002d55
104828at32523	1415176_0:000f6c
104841at32523	1415176_0:00246a
104853at32523	1415176_0:000ee1
104932at32523	1415176_0:0024db
104932at32523	1415176_0:00463c
