gene_name	KO	thrshld	score	E-value KO definition
8469_0:000000	K17926	412.03	1603.8	0 sorting nexin-14
8469_0:000001	K00419	36.97	99.2	1e-28 ubiquinol-cytochrome c reductase subunit 9
8469_0:000002	K17392	967.37	1109.6	0 insulin-like growth factor 2 mRNA-binding protein 2
8469_0:000003	K21868	3347.57	3636.5	0 myosin VIIb
8469_0:000004	K23336	131.57	1113.5	0 armadillo repeat-containing protein 8
8469_0:000005	K26099	56.9	273.4	1e-81 PTTG1-interacting protein
8469_0:000006	K10183	746.73	1077.2	0 T-box protein 18
8469_0:000007	K05006	416.3	676.1	1.2e-203 potassium inwardly-rectifying channel subfamily J member 13
8469_0:000008	K19627	669.13	776.4	9.9e-234 S-arrestin
8469_0:000009	K04555	266.53	379.1	6.3e-114 ubiquitin-conjugating enzyme E2 G2 [EC:2.3.2.23]
8469_0:00000a	K15593	525.9	633.7	2.1e-190 ets translocation variant 5
8469_0:00000c	K23456	136.73	397.7	4.2e-119 cilla- and flagella-associated protein
8469_0:00000d	K04977	1329.7	2159.2	0 transient receptor potential cation channel subfamily M member 2 [EC:3.6.1.13]
8469_0:00000e	K20178	188.8	1886.5	0 vacuolar protein sorting-associated protein 8
8469_0:00000f	K01344	530.67	727.5	3.8e-219 protein C (activated) [EC:3.4.21.69]
8469_0:000010	K24437	204.4	1203	0 thrombospondin-type laminin G domain and EAR repeat-containing protein
8469_0:000012	K18328	107.07	731.8	3e-220 lariat debranching enzyme [EC:3.1.-.-]
8469_0:000013	K23354	154.23	765.2	1.5e-230 LIM and senescent cell antigen-like-containing domain protein 1/2
8469_0:000014	K08797	441.17	761.3	1.1e-228 hormonally upregulated Neu-associated kinase [EC:2.7.11.1]
8469_0:000016	K17890	580.77	946.2	8.4e-285 autophagy-related protein 16-1
8469_0:000018	K13160	1197.43	1311.6	0 heterogeneous nuclear ribonucleoprotein Q
8469_0:000018	K13161	590.17	596.2	5.9e-179 heterogeneous nuclear ribonucleoprotein R
8469_0:000019	K09517	372.47	707.6	3.2e-213 DnaJ homolog subfamily B member 11
8469_0:00001a	K24611	131.37	483.2	3.2e-145 AMME syndrome candidate gene 1 protein
8469_0:00001b	K12357	259.43	558.5	5.9e-168 sialidase-2/3/4 [EC:3.2.1.18]
8469_0:00001c	K11718	169.57	2423.7	0 UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-]
8469_0:00001d	K19192	97.3	1061.7	0 histone deacetylase complex subunit SAP130
8469_0:00001e	K06557	205.2	366.2	8e-110 protein C receptor, endothelial (EPCR)
8469_0:00001f	K16810	222.87	969.2	5.9e-292 TBCC domain-containing protein 1
8469_0:000020	K12160	33.5	232	2.7e-69 small ubiquitin-related modifier
8469_0:000021	K00901	94.97	703.2	1.7e-211 diacylglycerol kinase (ATP) [EC:2.7.1.107]
8469_0:000023	K12897	122.7	281.4	5.5e-84 transformer-2 protein
8469_0:000025	K08404	374.83	619.7	1.3e-186 G protein-coupled receptor 17
8469_0:000026	K25968	111.07	386.6	4.7e-116 melanocortin-2 receptor accessory protein 2
8469_0:000027	K00850	349.13	1054.2	0 6-phosphofructokinase 1 [EC:2.7.1.11]
8469_0:000029	K08522	124.7	253.3	1.1e-75 glycoprotein hormones alpha chain
